nActionDay,nTime,nPrice,nVolume
20200226,93323840,4666000,100
20200226,93324100,4667800,100
20200226,93324770,4664400,100
20200226,93325250,4664300,100
20200226,93326240,4664300,100
20200226,93326940,4663900,100
20200226,93327620,4663100,100
20200226,93328340,4663100,100
20200226,93328550,4662000,100
20200226,93328550,4662000,100
20200226,93329450,4662000,100
20200226,93329530,4662000,200
20200226,93330350,4663900,100
20200226,93330400,4660800,100
20200226,93330570,4663900,100
20200226,93330910,4663900,100
20200226,93331390,4662600,300
20200226,93331500,4660500,100
20200226,93332380,4660300,100
20200226,93333570,4660200,100
20200226,93333600,4660300,100
20200226,93334240,4660300,100
20200226,93334300,4660300,100
20200226,93334300,4660300,100
20200226,93334300,4660300,100
20200226,93334300,4660300,100
20200226,93334310,4660500,200
20200226,93334310,4660500,200
20200226,93334310,4660500,200
20200226,93334610,4660500,100
20200226,93334610,4660500,100
20200226,93334610,4660500,100
20200226,93334610,4660300,100
20200226,93334610,4660200,300
20200226,93335590,4660800,100
20200226,93336100,4660800,500
20200226,93336620,4663100,100
20200226,93337540,4663100,100
20200226,93337540,4661000,100
20200226,93337540,4660300,100
20200226,93337540,4660200,300
20200226,93339860,4663900,100
20200226,93340240,4663900,100
20200226,93340540,4663900,200
20200226,93340920,4663900,100
20200226,93342050,4663900,100
20200226,93342050,4663900,100
20200226,93342050,4663900,100
20200226,93342410,4663100,100
20200226,93342570,4663400,100
20200226,93342620,4663400,200
20200226,93343560,4662000,100
20200226,93343560,4662000,100
20200226,93344250,4663400,100
20200226,93344430,4663100,100
20200226,93345610,4663400,300
20200226,93345610,4663400,100
20200226,93345680,4663400,100
20200226,93345680,4663900,100
20200226,93345680,4663900,100
20200226,93345680,4664300,100
20200226,93346550,4664300,700
20200226,93347000,4664300,100
20200226,93348610,4664600,100
20200226,93348640,4665000,100
20200226,93348640,4665100,100
20200226,93348650,4665800,100
20200226,93348760,4665800,100
20200226,93348900,4665800,100
20200226,93349220,4665800,200
20200226,93349220,4665800,100
20200226,93349220,4665800,100
20200226,93349400,4665800,100
20200226,93349400,4665800,100
20200226,93349540,4665800,100
20200226,93349540,4665800,200
20200226,93349540,4665800,100
20200226,93349540,4665800,100
20200226,93349540,4665800,100
20200226,93349540,4665500,200
20200226,93350970,4665500,100
20200226,93351250,4665500,100
20200226,93351250,4665500,100
20200226,93351280,4665500,100
20200226,93351400,4665500,400
20200226,93351400,4664600,100
20200226,93351400,4663900,100
20200226,93351400,4663500,100
20200226,93351400,4663400,100
20200226,93351740,4668800,100
20200226,93351740,4668800,100
20200226,93352550,4666400,100
20200226,93353490,4665500,100
20200226,93353490,4665500,100
20200226,93354610,4665000,100
20200226,93354880,4665000,300
20200226,93355550,4663100,100
20200226,93355550,4660400,300
20200226,93357680,4662600,500
20200226,93358560,4661300,100
20200226,93358560,4660400,500
20200226,93358560,4660400,200
20200226,93359450,4660500,100
20200226,93359990,4662600,100
20200226,93400230,4660500,100
20200226,93400600,4663100,200
20200226,93400670,4663100,100
20200226,93400980,4664000,200
20200226,93401350,4660500,100
20200226,93401640,4660500,400
20200226,93404010,4664600,200
20200226,93404640,4661700,100
20200226,93404640,4660900,100
20200226,93405360,4660800,100
20200226,93405360,4660600,100
20200226,93405360,4660500,300
20200226,93405360,4660500,100
20200226,93405360,4660400,400
20200226,93406780,4662600,100
20200226,93407550,4662600,100
20200226,93407550,4660600,100
20200226,93407570,4664600,100
20200226,93407910,4664600,900
20200226,93408160,4663100,100
20200226,93409960,4663100,100
20200226,93410560,4661400,100
20200226,93410560,4661000,100
20200226,93412480,4661000,100
20200226,93412620,4663100,100
20200226,93412650,4663100,300
20200226,93412650,4663100,900
20200226,93412650,4663100,100
20200226,93412800,4663100,200
20200226,93412810,4663100,100
20200226,93412840,4663100,100
20200226,93412840,4663100,100
20200226,93412930,4661000,100
20200226,93413340,4661000,100
20200226,93413340,4661000,100
20200226,93413340,4660500,100
20200226,93413340,4660500,200
20200226,93413590,4660500,200
20200226,93413590,4660500,100
20200226,93414380,4660500,100
20200226,93414710,4663100,100
20200226,93415290,4663100,100
20200226,93415330,4663100,100
20200226,93415600,4663100,100
20200226,93415600,4663100,200
20200226,93415600,4663100,100
20200226,93415600,4663100,100
20200226,93415600,4663100,100
20200226,93415610,4663100,100
20200226,93415780,4663100,100
20200226,93416320,4665000,100
20200226,93416320,4665000,100
20200226,93416500,4665000,200
20200226,93416500,4665000,100
20200226,93416680,4663100,100
20200226,93416680,4663100,200
20200226,93417020,4663100,400
20200226,93417020,4663100,100
20200226,93417020,4663100,100
20200226,93417020,4663100,400
20200226,93417020,4663100,100
20200226,93417020,4661900,100
20200226,93417020,4660800,400
20200226,93417020,4660800,900
20200226,93417020,4660800,1100
20200226,93417020,4660800,200
20200226,93417020,4660800,100
20200226,93417020,4660700,100
20200226,93417020,4660500,100
20200226,93417020,4660500,200
20200226,93417020,4660500,100
20200226,93417020,4660500,100
20200226,93417020,4660400,300
20200226,93417020,4660400,100
20200226,93417020,4660400,100
20200226,93417020,4660300,100
20200226,93417020,4660300,100
20200226,93417020,4660300,100
20200226,93417020,4660300,200
20200226,93417020,4660200,300
20200226,93417020,4660200,700
20200226,93417020,4660100,100
20200226,93417020,4660100,100
20200226,93417020,4660000,100
20200226,93417020,4660000,100
20200226,93417020,4660000,100
20200226,93417020,4660000,500
20200226,93417020,4660000,100
20200226,93417020,4660000,100
20200226,93417020,4660000,100
